Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,SYN Flag Count,ACK Flag Count,FIN Flag Count,PSH Flag Count,RST Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Source IP,Destination IP,Label
3389,6,2017-07-06 01:56:37.787576,110468,19,7,1573,658,82.77,13.87,94.03,14.25,20194.93,235.36,4248.8,4583.67,83,134,85.8,22.53,2,13,3,6,1,0,0,85.8,-1,26883,192.168.3.45,10.0.4.19,BruteForce
139,17,2017-07-05 08:54:53.815520,125,1,0,1,0,0.9,0.38,0.0,0.0,7194.22,7991.06,125.14,68.99,0,41,0.9,0.5,2,0,0,1,2,1,0,0.9,1024,26883,192.168.16.64,10.0.2.26,PortScan
21,6,2017-07-05 11:13:58.979940,347,1,1,2,1,1.65,0.63,0.56,0.13,6344.06,5754.27,173.78,204.74,1,42,1.1,18.6,3,0,0,0,2,1,1,1.1,8192,65535,192.168.5.23,10.0.2.221,PortScan
8080,17,2017-07-05 08:37:48.702959,2884256,8,23,2093,16196,261.56,118.97,704.17,147.29,6340.76,10.75,93040.52,89978.18,262,744,589.95,232.86,0,16,2,4,0,0,3,589.95,29200,229,192.168.5.234,10.0.3.214,BENIGN
3306,6,2017-07-06 02:42:28.182370,4053419,25,26,3551,12120,142.04,64.54,466.16,223.78,3866.1,12.58,79478.82,56583.07,142,506,307.27,176.05,1,9,1,8,1,0,1,307.27,1024,26883,192.168.9.228,10.0.2.25,BENIGN
443,17,2017-07-05 15:12:21.684325,6927969,1,0,67,0,67.32,18.39,0.0,0.0,9.72,0.14,6927969.85,3662571.93,0,107,67.32,50.57,1,3,1,0,0,1,0,67.32,-1,-1,192.168.15.62,10.0.1.172,BENIGN
4444,6,2017-07-06 02:33:10.933805,1,53,95,5808,84761,109.59,47.17,892.22,207.17,90569622710.39,148000000.0,0.01,,110,932,611.96,415.74,1,197,3,130,0,0,2,611.96,1024,65535,192.168.15.214,10.0.2.199,Infiltration
443,6,2017-07-05 20:01:39.250195,6697693,9,2,0,2250,0.0,0.0,1125.16,320.68,335.99,1.64,608881.2,518806.9,0,1165,204.58,564.52,1,29,2,5,0,1,0,204.58,65535,229,192.168.4.124,10.0.1.22,BENIGN
443,6,2017-07-05 12:16:51.072155,2078529,12,16,397,7505,33.11,8.88,469.07,93.66,3801.91,13.47,74233.21,95451.49,33,509,282.23,238.85,2,12,2,4,0,0,1,282.23,1024,-1,192.168.7.52,10.0.0.232,BENIGN
443,6,2017-07-05 13:08:25.346257,1408,52,3,2935,3,56.44,15.59,0.89,0.33,2086111.61,39055.92,25.6,23.64,1,96,53.41,37.91,146,4,0,0,2,1,0,53.41,1024,-1,192.168.19.24,10.0.3.148,DDoS
53,6,2017-07-05 14:29:53.846656,1,14,0,2494,0,178.18,42.26,1634.61,681.65,2494476064.82,14000000.0,0.07,0.09,178,1675,178.18,743.9,2,15,1,5,0,1,0,178.18,65535,26883,192.168.6.235,10.0.3.28,BENIGN
22,6,2017-07-06 06:25:41.519922,385266,14,19,1915,2515,136.77,67.17,132.37,16.06,11498.24,85.65,11674.75,3581.15,132,177,134.24,2.29,2,11,1,7,0,0,1,134.24,512,-1,192.168.15.124,10.0.2.154,BruteForce
25,6,2017-07-06 07:36:55.741399,2566096,32,0,10646,0,332.68,160.65,0.0,0.0,4148.61,12.47,80190.53,93122.37,0,373,332.68,173.52,0,2,3,0,0,0,0,332.68,65535,26883,192.168.1.23,10.0.1.208,BENIGN
8080,6,2017-07-05 08:19:12.121346,1367037,41,0,7172,0,174.92,24.13,194.75,43.73,5246.32,29.99,33342.38,12432.16,175,235,174.92,23.09,0,63,1,41,0,1,0,174.92,-1,26883,192.168.8.84,10.0.1.125,DoS
8080,17,2017-07-05 17:36:10.600578,5705228,4,25,1056,17720,264.06,45.0,708.8,143.57,3291.06,5.08,196732.02,287615.27,264,749,647.46,241.61,0,30,2,1,0,0,6,647.46,8192,65535,192.168.15.168,10.0.3.34,BENIGN
8080,6,2017-07-05 21:42:42.680177,5690196,45,19,13485,13705,299.66,93.62,721.31,86.91,4778.35,11.25,88909.32,121917.46,300,761,424.84,216.47,0,0,1,9,0,0,0,424.84,8192,65535,192.168.2.232,10.0.1.121,BENIGN
51234,6,2017-07-05 13:13:58.532554,25828435,17,4,3828,947,225.2,73.83,236.73,34.62,184.89,0.81,1229925.5,422036.8,225,277,227.4,24.87,3,7,0,6,1,1,0,227.4,-1,65535,192.168.13.109,10.0.4.119,Botnet
